number , PDBID , -log10(K) , Ligand
1, 10gs , 6.4 , GLU-BCS-PGY
2, 1a8i , 5.52 , GLS
3, 1a99 , 5.7 , PUT
4, 1ax0 , 3.13 , A2G
5, 1b6j , 7.92 , PI1
6, 1b6l , 8.3 , PI4
7, 1b6m , 8.4 , PI6
18, 1duv , 11.8 , PSQ
19, 1dy4 , 4.36 , SNP
20, 1e2k , 4.94 , TMC
23, 1fcx , 7.12 , 184
26, 1fh8 , 6.89 , XYP-XIF
27, 1fh9 , 6.43 , XYP-LOX
28, 1fhd , 6.82 , XYP-XIM
29, 1g2k , 7.96 , NM1
34, 1gj8 , 6.96 , 133
35, 1gjd , 5.22 , 136
36, 1gpk , 5.37 , HUP
39, 1gyy , 3.64 , FHC
40, 1gz9 , 3.51 , FUC-LAT
41, 1gzc , 3.49 , LAT
42, 1h22 , 9.1 , E10
43, 1h23 , 8.35 , E12
44, 1h46 , 3.57 , RNP
45, 1ha2 , 5.54 , WRS
47, 1hnn , 6.24 , SKF
48, 1i7z , 6.4 , COC
49, 1iy7 , 6.19 , CXA
53, 1jgl , 8.7 , EST
56, 1kzk , 10.39 , JE2
62, 1lnm , 8.7 , DTX
63, 1lrh , 6.82 , NLA
67, 1nc1 , 6.12 , MTH
68, 1nc3 , 5 , FMC
71, 1nli , 3.59 , ADE
74, 1nw5 , 5.21 , SAM
77, 1ow4 , 5.68 , 2AN
78, 1p1n , 6.8 , KAI
79, 1p1o , 5.76 , QUS
81, 1ps3 , 2.28 , KIF
82, 1pxp , 6.66 , CK8
87, 1r5y , 6.46 , DQU
88, 1s38 , 5.15 , MAQ
89, 1s39 , 7.7 , AQO
91, 1sr7 , 10.1 , MOF
92, 1sw1 , 7.3 , PBE
95, 1syh , 6.41 , CPW
96, 1syi , 5.48 , CPW
97, 1toj , 3.39 , HCI
98, 1tok , 2.47 , MAE
99, 1u1w , 5.85 , 3HA
101, 1ua4 , 4.22 , AMP
102, 1ugx , 5.91 , GAL-MGC
104, 1ui0 , 7.06 , URA
105, 1urg , 5.82 , MAL
107, 1utm , 3.01 , PEA
109, 1uwu , 5.98 , GOX
110, 1uz1 , 6.89 , IFL
111, 1uz4 , 3.4 , IFL
113, 1v0l , 6.32 , XIF-XYP
114, 1v1j , 4.82 , FA3
115, 1w2g , 4.57 , THM
119, 1ws4 , 3 , AMG
121, 1x8d , 2.21 , RNS
122, 1x9d , 3.96 , SMD
124, 1xge , 4.68 , DOR
126, 1y0l , 9 , HAN
127, 1y1m , 1.82 , AC5
128, 1y1z , 3.08 , 192
129, 1y20 , 5.32 , 1AC
130, 1yc1 , 6.17 , 4BC
131, 1ydk , 5.89 , GTX
132, 1z95 , 7.12 , 198
135, 1zhy , 6.52 , CLR
138, 2aac , 2.22 , FCB
139, 2afx , 5.15 , 1BN
140, 2ayr , 9.29 , L4G
141, 2azr , 3.64 , 982
142, 2b07 , 6.43 , 598
147, 2boh , 8.52 , IIA
148, 2boj , 5.77 , ARW
150, 2brb , 4.86 , PFQ
151, 2bvd , 6 , ISX
152, 2byr , 8.55 , MLK
153, 2cji , 8.22 , GSK
